Athlete,Closing Ceremony Date,Country,Sport,Year,Age,Bronze Medals,Gold Medals,Silver Medals,Total Medals
Amanda Overland,26-02-2006,Canada,Short-Track Speed Skating,2006,24,0,0,1,1
Shelley Rudman,26-02-2006,Great Britain,Skeleton,2006,24,0,0,1,1
Radoslav Židek,26-02-2006,Slovakia,Snowboarding,2006,24,0,0,1,1
Gretchen Bleiler,26-02-2006,United States,Snowboarding,2006,24,0,0,1,1
Tanja Poutiainen,26-02-2006,Finland,Alpine Skiing,2006,25,0,0,1,1
Ivan Cherezov,26-02-2006,Russia,Biathlon,2006,25,0,0,1,1
Aleksey Voyevoda,26-02-2006,Russia,Bobsleigh,2006,25,0,0,1,1
Evi Sachenbacher-Stehle,26-02-2006,Germany,Cross Country Skiing,2006,25,0,0,1,1
Marit Bjørgen,26-02-2006,Norway,Cross Country Skiing,2006,25,0,0,1,1
Antero Niittymäki,26-02-2006,Finland,Ice Hockey,2006,25,0,0,1,1
Anna Vikman,26-02-2006,Sweden,Ice Hockey,2006,25,0,0,1,1
Arne Dankers,26-02-2006,Canada,Speed Skating,2006,25,0,0,1,1
Ivica Kostelic,26-02-2006,Croatia,Alpine Skiing,2006,26,0,0,1,1
Jens Filbrich,26-02-2006,Germany,Cross Country Skiing,2006,26,0,0,1,1
Michèle Moser,26-02-2006,Switzerland,Curling,2006,26,0,0,1,1
Niklas Hagman,26-02-2006,Finland,Ice Hockey,2006,26,0,0,1,1
Erika Holst,26-02-2006,Sweden,Ice Hockey,2006,26,0,0,1,1
Joa Elfsberg,26-02-2006,Sweden,Ice Hockey,2006,26,0,0,1,1
Maria Rooth,26-02-2006,Sweden,Ice Hockey,2006,26,0,0,1,1
Reinfried Herbst,26-02-2006,Austria,Alpine Skiing,2006,27,0,0,1,1
Filipp Yegorov,26-02-2006,Russia,Bobsleigh,2006,27,0,0,1,1
Binia Beeli,26-02-2006,Switzerland,Curling,2006,27,0,0,1,1
Mikko Ronkainen,26-02-2006,Finland,Freestyle Skiing,2006,27,0,0,1,1
Niko Kapanen,26-02-2006,Finland,Ice Hockey,2006,27,0,0,1,1
Olli Jokinen,26-02-2006,Finland,Ice Hockey,2006,27,0,0,1,1
Jenny Lindqvist,26-02-2006,Sweden,Ice Hockey,2006,27,0,0,1,1
Jens Gaiser,26-02-2006,Germany,Nordic Combined,2006,27,0,0,1,1
Jonathan Guilmette,26-02-2006,Canada,Short-Track Speed Skating,2006,27,0,0,1,1
Simon Schoch,26-02-2006,Switzerland,Snowboarding,2006,27,0,0,1,1
Andrea Henkel,26-02-2006,Germany,Biathlon,2006,28,0,0,1,1
Shauna Rohbock,26-02-2006,United States,Bobsleigh,2006,28,0,0,1,1
Lukáš Bauer,26-02-2006,Czech Republic,Cross Country Skiing,2006,28,0,0,1,1
Dmitry Dashchinsky,26-02-2006,Belarus,Freestyle Skiing,2006,28,0,0,1,1
Aki Berg,26-02-2006,Finland,Ice Hockey,2006,28,0,0,1,1
Antti-Jussi Niemi,26-02-2006,Finland,Ice Hockey,2006,28,0,0,1,1
Toni Lydman,26-02-2006,Finland,Ice Hockey,2006,28,0,0,1,1
Ville Nieminen,26-02-2006,Finland,Ice Hockey,2006,28,0,0,1,1
Ronny Ackermann,26-02-2006,Germany,Nordic Combined,2006,28,0,0,1,1
Evgeniya Radanova,26-02-2006,Bulgaria,Short-Track Speed Skating,2006,28,0,0,1,1
Alanna Kraus,26-02-2006,Canada,Short-Track Speed Skating,2006,28,0,0,1,1
Janne Ahonen,26-02-2006,Finland,Ski Jumping,2006,28,0,0,1,1
Aleksey Seliverstov,26-02-2006,Russia,Bobsleigh,2006,29,0,0,1,1
Valerie Fleming,26-02-2006,United States,Bobsleigh,2006,29,0,0,1,1
Sara Renner,26-02-2006,Canada,Cross Country Skiing,2006,29,0,0,1,1
Viola Bauer,26-02-2006,Germany,Cross Country Skiing,2006,29,0,0,1,1
Ylva Lindberg,26-02-2006,Sweden,Ice Hockey,2006,29,0,0,1,1
André Florschütz,26-02-2006,Germany,Luge,2006,29,0,0,1,1
Torsten Wustlich,26-02-2006,Germany,Luge,2006,29,0,0,1,1
Mathieu Turcotte,26-02-2006,Canada,Short-Track Speed Skating,2006,29,0,0,1,1
Éric Bédard,26-02-2006,Canada,Short-Track Speed Skating,2006,29,0,0,1,1
Tami Kiuru,26-02-2006,Finland,Ski Jumping,2006,29,0,0,1,1
Renate Groenewold,26-02-2006,Netherlands,Speed Skating,2006,29,0,0,1,1
Dmitry Dorofeyev,26-02-2006,Russia,Speed Skating,2006,29,0,0,1,1
Michael Walchhofer,26-02-2006,Austria,Alpine Skiing,2006,30,0,0,1,1
Jens Arne Svartedal,26-02-2006,Norway,Cross Country Skiing,2006,30,0,0,1,1
Kalle Kiiskinen,26-02-2006,Finland,Curling,2006,30,0,0,1,1
Jarkko Ruutu,26-02-2006,Finland,Ice Hockey,2006,30,0,0,1,1
Kimmo Timonen,26-02-2006,Finland,Ice Hockey,2006,30,0,0,1,1
Ann-Louise Edstrand,26-02-2006,Sweden,Ice Hockey,2006,30,0,0,1,1
Gunilla Andersson,26-02-2006,Sweden,Ice Hockey,2006,30,0,0,1,1
Tania Vicent,26-02-2006,Canada,Short-Track Speed Skating,2006,30,0,0,1,1
Jason Parker,26-02-2006,Canada,Speed Skating,2006,30,0,0,1,1
Steven Elm,26-02-2006,Canada,Speed Skating,2006,30,0,0,1,1
Lascelles Brown,26-02-2006,Canada,Bobsleigh,2006,31,0,0,1,1
Aleksandr Zubkov,26-02-2006,Russia,Bobsleigh,2006,31,0,0,1,1
Beckie Scott,26-02-2006,Canada,Cross Country Skiing,2006,31,0,0,1,1
René Sommerfeldt,26-02-2006,Germany,Cross Country Skiing,2006,31,0,0,1,1
Wille Mäkelä,26-02-2006,Finland,Curling,2006,31,0,0,1,1
Jukka Hentunen,26-02-2006,Finland,Ice Hockey,2006,31,0,0,1,1
Saku Koivu,26-02-2006,Finland,Ice Hockey,2006,31,0,0,1,1
Sami Salo,26-02-2006,Finland,Ice Hockey,2006,31,0,0,1,1
Joël Chenal,26-02-2006,France,Alpine Skiing,2006,32,0,0,1,1
Katrin Apel,26-02-2006,Germany,Biathlon,2006,32,0,0,1,1
Tomasz Sikora,26-02-2006,Poland,Biathlon,2006,32,0,0,1,1
Tor-Arne Hetland,26-02-2006,Norway,Cross Country Skiing,2006,32,0,0,1,1
Teemu Salo,26-02-2006,Finland,Curling,2006,32,0,0,1,1
Kari Traa,26-02-2006,Norway,Freestyle Skiing,2006,32,0,0,1,1
Antti Laaksonen,26-02-2006,Finland,Ice Hockey,2006,32,0,0,1,1
Fredrik Norrena,26-02-2006,Finland,Ice Hockey,2006,32,0,0,1,1
Jere Lehtinen,26-02-2006,Finland,Ice Hockey,2006,32,0,0,1,1
Ville Peltonen,26-02-2006,Finland,Ice Hockey,2006,32,0,0,1,1
Wang Manli,26-02-2006,China,Speed Skating,2006,32,0,0,1,1
Andreas Schlütter,26-02-2006,Germany,Cross Country Skiing,2006,33,0,0,1,1
Frode Estil,26-02-2006,Norway,Cross Country Skiing,2006,33,0,0,1,1
Petteri Nummelin,26-02-2006,Finland,Ice Hockey,2006,33,0,0,1,1
Pavel Rostovtsev,26-02-2006,Russia,Biathlon,2006,34,0,0,1,1
Mirjam Ott,26-02-2006,Switzerland,Curling,2006,34,0,0,1,1
Albert Demchenko,26-02-2006,Russia,Luge,2006,34,0,0,1,1
Pierre Lueders,26-02-2006,Canada,Bobsleigh,2006,35,0,0,1,1
Teemu Selänne,26-02-2006,Finland,Ice Hockey,2006,35,0,0,1,1
Silke Kraushaar,26-02-2006,Germany,Luge,2006,35,0,0,1,1
Jeff Pain,26-02-2006,Canada,Skeleton,2006,35,0,0,1,1
Teppo Numminen,26-02-2006,Finland,Ice Hockey,2006,37,0,0,1,1
Sergey Chepikov,26-02-2006,Russia,Biathlon,2006,39,0,0,1,1
Markku Uusipaavalniemi,26-02-2006,Finland,Curling,2006,39,0,0,1,1
Melissa Wu,24-08-2008,Australia,Diving,2008,16,0,0,1,1
Bridget Sloan,24-08-2008,United States,Gymnastics,2008,16,0,0,1,1
Samantha Peszek,24-08-2008,United States,Gymnastics,2008,16,0,0,1,1
Dan Izotov,24-08-2008,Russia,Swimming,2008,16,0,0,1,1
Ricky Rubio,24-08-2008,Spain,Basketball,2008,17,0,0,1,1
Zhu Qianwei,24-08-2008,China,Swimming,2008,17,0,0,1,1
Buttree Puedpong,24-08-2008,Thailand,Taekwondo,2008,17,0,0,1,1
Yury Kunakov,24-08-2008,Russia,Diving,2008,18,0,0,1,1
Francielle,24-08-2008,Brazil,Football,2008,18,0,0,1,1
Cai Tongtong,24-08-2008,China,Rhythmic Gymnastics,2008,18,0,0,1,1
Jiao Liuyang,24-08-2008,China,Swimming,2008,18,0,0,1,1
René Poulsen,24-08-2008,Denmark,Canoeing,2008,19,0,0,1,1
Patrick Hausding,24-08-2008,Germany,Diving,2008,19,0,0,1,1
Fabiana,24-08-2008,Brazil,Football,2008,19,0,0,1,1
Chibuzor Okonkwo,24-08-2008,Nigeria,Football,2008,19,0,0,1,1
Dele Adeleye,24-08-2008,Nigeria,Football,2008,19,0,0,1,1
Efe Ambrose,24-08-2008,Nigeria,Football,2008,19,0,0,1,1
Zhao Yudiao,24-08-2008,China,Hockey,2008,19,0,0,1,1
Roc Oliva,24-08-2008,Spain,Hockey,2008,19,0,0,1,1
Wang Gi-Chun,24-08-2008,South Korea,Judo,2008,19,0,0,1,1
Sui Jianshuang,24-08-2008,China,Rhythmic Gymnastics,2008,19,0,0,1,1
Mikhail Polishchuk,24-08-2008,Russia,Swimming,2008,19,0,0,1,1
Nikita Lobintsev,24-08-2008,Russia,Swimming,2008,19,0,0,1,1
Elaine Breeden,24-08-2008,United States,Swimming,2008,19,0,0,1,1
Dmitrij Ovtcharov,24-08-2008,Germany,Table Tennis,2008,19,0,0,1,1
Mauro Nespoli,24-08-2008,Italy,Archery,2008,20,0,0,1,1
Keston Bledman,24-08-2008,Trinidad and Tobago,Athletics,2008,20,0,0,1,1
Zhou Luxin,24-08-2008,China,Diving,2008,20,0,0,1,1
Bárbara,24-08-2008,Brazil,Football,2008,20,0,0,1,1
Érika,24-08-2008,Brazil,Football,2008,20,0,0,1,1
Emmanuel Ekpo,24-08-2008,Nigeria,Football,2008,20,0,0,1,1
Promise Isaac,24-08-2008,Nigeria,Football,2008,20,0,0,1,1
Victor Anichebe,24-08-2008,Nigeria,Football,2008,20,0,0,1,1
Alicia Sacramone,24-08-2008,United States,Gymnastics,2008,20,0,0,1,1
Chellsie Memmel,24-08-2008,United States,Gymnastics,2008,20,0,0,1,1
Sergi Enrique,24-08-2008,Spain,Hockey,2008,20,0,0,1,1
Chou Tao,24-08-2008,China,Rhythmic Gymnastics,2008,20,0,0,1,1
Tom Lucy,24-08-2008,Great Britain,Rowing,2008,20,0,0,1,1
Keri-Anne Payne,24-08-2008,Great Britain,Swimming,2008,20,0,0,1,1
Aleksandr Sukhorukov,24-08-2008,Russia,Swimming,2008,20,0,0,1,1
Sara Isakovic,24-08-2008,Slovenia,Swimming,2008,20,0,0,1,1
Laura López,24-08-2008,Spain,Synchronized Swimming,2008,20,0,0,1,1
J. W. Krumpholz,24-08-2008,United States,Waterpolo,2008,20,0,0,1,1
Irina Nekrasova,24-08-2008,Kazakhstan,Weightlifting,2008,20,0,0,1,1
Sibel Özkan,24-08-2008,Turkey,Weightlifting,2008,20,0,0,1,1
Chen Ling,24-08-2008,China,Archery,2008,21,0,0,1,1
Sally McLellan-Pearson,24-08-2008,Australia,Athletics,2008,21,0,0,1,1
Ramon Miller,24-08-2008,Bahamas,Athletics,2008,21,0,0,1,1
Elier Sánchez,24-08-2008,Cuba,Baseball,2008,21,0,0,1,1
Carlos Banteux,24-08-2008,Cuba,Boxing,2008,21,0,0,1,1
Danuta Kozák,24-08-2008,Hungary,Canoeing,2008,21,0,0,1,1
Kévin Sireau,24-08-2008,France,Cycling,2008,21,0,0,1,1
Emily Cross,24-08-2008,United States,Fencing,2008,21,0,0,1,1
Monday James,24-08-2008,Nigeria,Football,2008,21,0,0,1,1
Onyekachi Apam,24-08-2008,Nigeria,Football,2008,21,0,0,1,1
Solomon Okoronkwo,24-08-2008,Nigeria,Football,2008,21,0,0,1,1
Victor Obinna,24-08-2008,Nigeria,Football,2008,21,0,0,1,1
Koki Sakamoto,24-08-2008,Japan,Gymnastics,2008,21,0,0,1,1
Inna Bliznova,24-08-2008,Russia,Handball,2008,21,0,0,1,1
Li Hongxia,24-08-2008,China,Hockey,2008,21,0,0,1,1
Yanet Bermoy,24-08-2008,Cuba,Judo,2008,21,0,0,1,1
Inna Zhukova,24-08-2008,Belarus,Rhythmic Gymnastics,2008,21,0,0,1,1
Sun Dan,24-08-2008,China,Rhythmic Gymnastics,2008,21,0,0,1,1
Mandy Mulder,24-08-2008,Netherlands,Sailing,2008,21,0,0,1,1
Tan Miao,24-08-2008,China,Swimming,2008,21,0,0,1,1
Tang Jingzhi,24-08-2008,China,Swimming,2008,21,0,0,1,1
Zhang Lin,24-08-2008,China,Swimming,2008,21,0,0,1,1
Boris Steimetz,24-08-2008,France,Swimming,2008,21,0,0,1,1
Alessia Filippi,24-08-2008,Italy,Swimming,2008,21,0,0,1,1
Feng Tian Wei,24-08-2008,Singapore,Table Tennis,2008,21,0,0,1,1
Jason Burnett,24-08-2008,Canada,Trampoline,2008,21,0,0,1,1
Jessica Steffens,24-08-2008,United States,Waterpolo,2008,21,0,0,1,1
Kami Craig,24-08-2008,United States,Waterpolo,2008,21,0,0,1,1
Oksana Slivenko,24-08-2008,Russia,Weightlifting,2008,21,0,0,1,1
Guo Dan,24-08-2008,China,Archery,2008,22,0,0,1,1
Dretti Bain,24-08-2008,Bahamas,Athletics,2008,22,0,0,1,1
Andrey Kravchenko,24-08-2008,Belarus,Athletics,2008,22,0,0,1,1
Olivia Borlée,24-08-2008,Belgium,Athletics,2008,22,0,0,1,1
Mariya Abakumova,24-08-2008,Russia,Athletics,2008,22,0,0,1,1
Lilyana Natsir,24-08-2008,Indonesia,Badminton,2008,22,0,0,1,1
Alfredo Despaigne,24-08-2008,Cuba,Baseball,2008,22,0,0,1,1
Yadier Pedroso,24-08-2008,Cuba,Baseball,2008,22,0,0,1,1
Emilio Correa Jr.,24-08-2008,Cuba,Boxing,2008,22,0,0,1,1
Gabriella Szabó,24-08-2008,Hungary,Canoeing,2008,22,0,0,1,1
Beata Mikolajczyk,24-08-2008,Poland,Canoeing,2008,22,0,0,1,1
Casper Jørgensen,24-08-2008,Denmark,Cycling,2008,22,0,0,1,1
Michael Færk Christensen,24-08-2008,Denmark,Cycling,2008,22,0,0,1,1
Laëtitia Le Corguillé,24-08-2008,France,Cycling,2008,22,0,0,1,1
Roger Kluge,24-08-2008,Germany,Cycling,2008,22,0,0,1,1
Sascha Klein,24-08-2008,Germany,Diving,2008,22,0,0,1,1
Anastasia Pozdnyakova,24-08-2008,Russia,Diving,2008,22,0,0,1,1
Huang Haiyang,24-08-2008,China,Fencing,2008,22,0,0,1,1
Ni Hong,24-08-2008,China,Fencing,2008,22,0,0,1,1
Yuki Ota,24-08-2008,Japan,Fencing,2008,22,0,0,1,1
James Williams,24-08-2008,United States,Fencing,2008,22,0,0,1,1
Kóki,24-08-2008,Brazil,Football,2008,22,0,0,1,1
Marta,24-08-2008,Brazil,Football,2008,22,0,0,1,1
Maurine,24-08-2008,Brazil,Football,2008,22,0,0,1,1
Ambruse Vanzekin,24-08-2008,Nigeria,Football,2008,22,0,0,1,1
Chinedu Ogbuke,24-08-2008,Nigeria,Football,2008,22,0,0,1,1
Olubayo Adefemi,24-08-2008,Nigeria,Football,2008,22,0,0,1,1
Sani Kaita,24-08-2008,Nigeria,Football,2008,22,0,0,1,1
Filip Ude,24-08-2008,Croatia,Gymnastics,2008,22,0,0,1,1
Thomas Bouhail,24-08-2008,France,Gymnastics,2008,22,0,0,1,1
Makoto Okiguchi,24-08-2008,Japan,Gymnastics,2008,22,0,0,1,1
Yana Uskova,24-08-2008,Russia,Handball,2008,22,0,0,1,1
Yekaterina Andryushina,24-08-2008,Russia,Handball,2008,22,0,0,1,1
Ren Ye,24-08-2008,China,Hockey,2008,22,0,0,1,1
Song Qingling,24-08-2008,China,Hockey,2008,22,0,0,1,1
Yalennis Castillo,24-08-2008,Cuba,Judo,2008,22,0,0,1,1
Ash Delaney,24-08-2008,Australia,Swimming,2008,22,0,0,1,1
Christian Sprenger,24-08-2008,Australia,Swimming,2008,22,0,0,1,1
Yevgeny Lagunov,24-08-2008,Russia,Swimming,2008,22,0,0,1,1
Emily Silver,24-08-2008,United States,Swimming,2008,22,0,0,1,1
Lacey Nymeyer,24-08-2008,United States,Swimming,2008,22,0,0,1,1
Alba Cabello,24-08-2008,Spain,Synchronized Swimming,2008,22,0,0,1,1
Azize Tanrikulu,24-08-2008,Turkey,Taekwondo,2008,22,0,0,1,1
Dinara Safina,24-08-2008,Russia,Tennis,2008,22,0,0,1,1
Vanessa Fernandes,24-08-2008,Portugal,Triathlon,2008,22,0,0,1,1
Bruninho,24-08-2008,Brazil,Volleyball,2008,22,0,0,1,1
Marina Shainova,24-08-2008,Russia,Weightlifting,2008,22,0,0,1,1
Yoon Jin-Hee,24-08-2008,South Korea,Weightlifting,2008,22,0,0,1,1
Olha Korobka,24-08-2008,Ukraine,Weightlifting,2008,22,0,0,1,1
Mahiedine Mekhissi-Benabbad,24-08-2008,France,Athletics,2008,23,0,0,1,1
Eliud Kipchoge,24-08-2008,Kenya,Athletics,2008,23,0,0,1,1
Lyudmila Litvinova,24-08-2008,Russia,Athletics,2008,23,0,0,1,1
Yevgeniy Lukyanenko,24-08-2008,Russia,Athletics,2008,23,0,0,1,1
Godfrey Khotso Mokoena,24-08-2008,South Africa,Athletics,2008,23,0,0,1,1
Ismail Ahmed Ismail,24-08-2008,Sudan,Athletics,2008,23,0,0,1,1
Héctor Olivera Jr.,24-08-2008,Cuba,Baseball,2008,23,0,0,1,1
Miguel La Hera,24-08-2008,Cuba,Baseball,2008,23,0,0,1,1
Emma Randall,24-08-2008,Australia,Basketball,2008,23,0,0,1,1
Erin Phillips,24-08-2008,Australia,Basketball,2008,23,0,0,1,1
Marc Gasol,24-08-2008,Spain,Basketball,2008,23,0,0,1,1
Rudy Fernández,24-08-2008,Spain,Basketball,2008,23,0,0,1,1
Pürevdorjin Serdamba,24-08-2008,Mongolia,Boxing,2008,23,0,0,1,1
Michael Mørkøv,24-08-2008,Denmark,Cycling,2008,23,0,0,1,1
Grégory Baugé,24-08-2008,France,Cycling,2008,23,0,0,1,1
Mike Day,24-08-2008,United States,Cycling,2008,23,0,0,1,1
Alexandre Despatie,24-08-2008,Canada,Diving,2008,23,0,0,1,1
Ana Brânza,24-08-2008,Romania,Fencing,2008,23,0,0,1,1
Cristiane,24-08-2008,Brazil,Football,2008,23,0,0,1,1
Femi Ajilore,24-08-2008,Nigeria,Football,2008,23,0,0,1,1
Björgvin Gustavsson,24-08-2008,Iceland,Handball,2008,23,0,0,1,1
Emiliya Turey,24-08-2008,Russia,Handball,2008,23,0,0,1,1
Lyudmila Postnova,24-08-2008,Russia,Handball,2008,23,0,0,1,1
Pan Fengzhen,24-08-2008,China,Hockey,2008,23,0,0,1,1
David Alegre,24-08-2008,Spain,Hockey,2008,23,0,0,1,1
Juan Fernández,24-08-2008,Spain,Hockey,2008,23,0,0,1,1
Kim Jae-Beom,24-08-2008,South Korea,Judo,2008,23,0,0,1,1
Annekatrin Thiele,24-08-2008,Germany,Rowing,2008,23,0,0,1,1
Simone Venier,24-08-2008,Italy,Rowing,2008,23,0,0,1,1
Merel Witteveen,24-08-2008,Netherlands,Sailing,2008,23,0,0,1,1
Zhu Qinan,24-08-2008,China,Shooting,2008,23,0,0,1,1
Caitlin Lowe,24-08-2008,United States,Softball,2008,23,0,0,1,1
Monica Abbott,24-08-2008,United States,Softball,2008,23,0,0,1,1
Yang Yu,24-08-2008,China,Swimming,2008,23,0,0,1,1
Dave Davies,24-08-2008,Great Britain,Swimming,2008,23,0,0,1,1
Alexander Dale Oen,24-08-2008,Norway,Swimming,2008,23,0,0,1,1
Christian Süß,24-08-2008,Germany,Table Tennis,2008,23,0,0,1,1
Karine Sergerie,24-08-2008,Canada,Taekwondo,2008,23,0,0,1,1
Kim Glass,24-08-2008,United States,Volleyball,2008,23,0,0,1,1
Alison Gregorka,24-08-2008,United States,Waterpolo,2008,23,0,0,1,1
Brittany Hayes,24-08-2008,United States,Waterpolo,2008,23,0,0,1,1
Elsie Windes,24-08-2008,United States,Waterpolo,2008,23,0,0,1,1
Patty Cardenas,24-08-2008,United States,Waterpolo,2008,23,0,0,1,1
Peter Varellas,24-08-2008,United States,Waterpolo,2008,23,0,0,1,1
Tim Hutten,24-08-2008,United States,Waterpolo,2008,23,0,0,1,1
Michael Mathieu,24-08-2008,Bahamas,Athletics,2008,24,0,0,1,1
Blanka Vlašic,24-08-2008,Croatia,Athletics,2008,24,0,0,1,1
Sherone Simpson,24-08-2008,Jamaica,Athletics,2008,24,0,0,1,1
Janeth Jepkosgei,24-08-2008,Kenya,Athletics,2008,24,0,0,1,1
Yelena Migunova,24-08-2008,Russia,Athletics,2008,24,0,0,1,1
Emmanuel Callender,24-08-2008,Trinidad and Tobago,Athletics,2008,24,0,0,1,1
Fu Haifeng,24-08-2008,China,Badminton,2008,24,0,0,1,1
Alexei Bell,24-08-2008,Cuba,Baseball,2008,24,0,0,1,1
Yulieski Gourriel,24-08-2008,Cuba,Baseball,2008,24,0,0,1,1
Hollie Grima,24-08-2008,Australia,Basketball,2008,24,0,0,1,1
Laura Summerton-Hodges,24-08-2008,Australia,Basketball,2008,24,0,0,1,1
Wang Jie,24-08-2008,China,Beach Volleyball,2008,24,0,0,1,1
Khédafi Djelkhir,24-08-2008,France,Boxing,2008,24,0,0,1,1
Anna Meares,24-08-2008,Australia,Cycling,2008,24,0,0,1,1
Alex Rasmussen,24-08-2008,Denmark,Cycling,2008,24,0,0,1,1
Maja Wloszczowska,24-08-2008,Poland,Cycling,2008,24,0,0,1,1
Emma Johansson,24-08-2008,Sweden,Cycling,2008,24,0,0,1,1
Bao Yingying,24-08-2008,China,Fencing,2008,24,0,0,1,1
Tan Xue,24-08-2008,China,Fencing,2008,24,0,0,1,1
Hanna Thompson,24-08-2008,United States,Fencing,2008,24,0,0,1,1
Andréia Rosa,24-08-2008,Brazil,Football,2008,24,0,0,1,1
Daniela,24-08-2008,Brazil,Football,2008,24,0,0,1,1
Yu Won-Cheol,24-08-2008,South Korea,Gymnastics,2008,24,0,0,1,1
Arnór Atlason,24-08-2008,Iceland,Handball,2008,24,0,0,1,1
Ásgeir Örn Hallgrímsson,24-08-2008,Iceland,Handball,2008,24,0,0,1,1
Yelena Polyonova,24-08-2008,Russia,Handball,2008,24,0,0,1,1
Zhang Yimeng,24-08-2008,China,Hockey,2008,24,0,0,1,1
Víctor Sojo,24-08-2008,Spain,Hockey,2008,24,0,0,1,1
Zhang Shuo,24-08-2008,China,Rhythmic Gymnastics,2008,24,0,0,1,1
Matt Ryan,24-08-2008,Australia,Rowing,2008,24,0,0,1,1
Gao Yulan,24-08-2008,China,Rowing,2008,24,0,0,1,1
Wu You,24-08-2008,China,Rowing,2008,24,0,0,1,1
Colin Smith,24-08-2008,Great Britain,Rowing,2008,24,0,0,1,1
Roline Repelaer van Driel,24-08-2008,Netherlands,Rowing,2008,24,0,0,1,1
Zach Railey,24-08-2008,United States,Sailing,2008,24,0,0,1,1
Zuzana Štefeceková,24-08-2008,Slovakia,Shooting,2008,24,0,0,1,1
Andrea Duran,24-08-2008,United States,Softball,2008,24,0,0,1,1
Lauren Lappin,24-08-2008,United States,Softball,2008,24,0,0,1,1
Vicky Galindo,24-08-2008,United States,Softball,2008,24,0,0,1,1
Fabien Gilot,24-08-2008,France,Swimming,2008,24,0,0,1,1
Grégory Mallet,24-08-2008,France,Swimming,2008,24,0,0,1,1
Milorad Cavic,24-08-2008,Serbia,Swimming,2008,24,0,0,1,1
Megan Quann-Jendrick,24-08-2008,United States,Swimming,2008,24,0,0,1,1
Samuel,24-08-2008,Brazil,Volleyball,2008,24,0,0,1,1
Lauren Wenger,24-08-2008,United States,Waterpolo,2008,24,0,0,1,1
Moriah Van Norman,24-08-2008,United States,Waterpolo,2008,24,0,0,1,1
Marco Galiazzo,24-08-2008,Italy,Archery,2008,25,0,0,1,1
Andrae Williams,24-08-2008,Bahamas,Athletics,2008,25,0,0,1,1
Yarelis Barrios,24-08-2008,Cuba,Athletics,2008,25,0,0,1,1
Sileshi Sihine,24-08-2008,Ethiopia,Athletics,2008,25,0,0,1,1
Germaine Mason,24-08-2008,Great Britain,Athletics,2008,25,0,0,1,1
Nick Willis,24-08-2008,New Zealand,Athletics,2008,25,0,0,1,1
Piotr Malachowski,24-08-2008,Poland,Athletics,2008,25,0,0,1,1
Tatyana Firova,24-08-2008,Russia,Athletics,2008,25,0,0,1,1
Marc Burns,24-08-2008,Trinidad and Tobago,Athletics,2008,25,0,0,1,1
Sheena Johnson-Tosta,24-08-2008,United States,Athletics,2008,25,0,0,1,1
Lee Chong Wei,24-08-2008,Malaysia,Badminton,2008,25,0,0,1,1
Zhang Zhilei,24-08-2008,China,Boxing,2008,25,0,0,1,1
Daouda Sow,24-08-2008,France,Boxing,2008,25,0,0,1,1
Emma Pooley,24-08-2008,Great Britain,Cycling,2008,25,0,0,1,1
Ross Edgar,24-08-2008,Great Britain,Cycling,2008,25,0,0,1,1
Bree Cole,24-08-2008,Australia,Diving,2008,25,0,0,1,1
Jason Rogers,24-08-2008,United States,Fencing,2008,25,0,0,1,1
Ester,24-08-2008,Brazil,Football,2008,25,0,0,1,1
Takuya Nakase,24-08-2008,Japan,Gymnastics,2008,25,0,0,1,1
Logi Geirsson,24-08-2008,Iceland,Handball,2008,25,0,0,1,1
Yelena Dmitriyeva,24-08-2008,Russia,Handball,2008,25,0,0,1,1
Eduard Arbós,24-08-2008,Spain,Hockey,2008,25,0,0,1,1
Quico Cortés,24-08-2008,Spain,Hockey,2008,25,0,0,1,1
Santi Freixa,24-08-2008,Spain,Hockey,2008,25,0,0,1,1
Heather Fell,24-08-2008,Great Britain,Modern Pentathlon,2008,25,0,0,1,1
Lu Yuanyang,24-08-2008,China,Rhythmic Gymnastics,2008,25,0,0,1,1
Francis Hegerty,24-08-2008,Australia,Rowing,2008,25,0,0,1,1
James Marburg,24-08-2008,Australia,Rowing,2008,25,0,0,1,1
Ondrej Synek,24-08-2008,Czech Republic,Rowing,2008,25,0,0,1,1
Annie Vernon,24-08-2008,Great Britain,Rowing,2008,25,0,0,1,1
Matt Langridge,24-08-2008,Great Britain,Rowing,2008,25,0,0,1,1
Lukasz Pawlowski,24-08-2008,Poland,Rowing,2008,25,0,0,1,1
Gintare Volungeviciute-Scheidt,24-08-2008,Lithuania,Sailing,2008,25,0,0,1,1
Cat Osterman,24-08-2008,United States,Softball,2008,25,0,0,1,1
Thais Henríquez,24-08-2008,Spain,Synchronized Swimming,2008,25,0,0,1,1
Mauro Sarmiento,24-08-2008,Italy,Taekwondo,2008,25,0,0,1,1
Jennifer Joines,24-08-2008,United States,Volleyball,2008,25,0,0,1,1
Ogonna Nnamani,24-08-2008,United States,Volleyball,2008,25,0,0,1,1
Betsey Armstrong,24-08-2008,United States,Waterpolo,2008,25,0,0,1,1
Jesse Smith,24-08-2008,United States,Waterpolo,2008,25,0,0,1,1
Alla Vazhenina,24-08-2008,Kazakhstan,Weightlifting,2008,25,0,0,1,1
Dmitry Klokov,24-08-2008,Russia,Weightlifting,2008,25,0,0,1,1
Nataliya Khoronenko-Mikhnevich,24-08-2008,Belarus,Athletics,2008,26,0,0,1,1
